Country,Year,AvgTemp_Country,co2,co2_per_capita
Croatia,1962,9.959361111111113,6.269,1.473
Croatia,1977,11.162444444444446,14.996,3.267
Oman,1983,24.26111111111111,7.526,6.37
Singapore,1962,26.56083333333334,2.513,1.46
Mongolia,1976,-3.4007500000000004,4.39,2.866
Laos,2004,24.34958333333333,1.282,0.222
Denmark,2010,7.252041666666666,49.19,8.866
Turkey,1964,12.745373770491797,26.306,0.834
Kazakhstan,1967,5.287061797752807,139.409,12.034
China,1966,13.21876663007685,549.467,0.74
Spain,1998,15.472433333333331,273.65,6.737
Nigeria,1995,27.04735747021084,84.23,0.76
Nigeria,2009,27.666103479853493,77.031,0.475
United Kingdom,1993,9.237990196078435,579.613,10.017
Venezuela,1971,25.288587499999995,62.5,5.323
Venezuela,1995,26.240150000000007,124.83,5.625
Ethiopia,1974,20.33265740740741,1.736,0.056
Australia,1969,16.971654761904762,136.414,11.115
Australia,1990,17.35158333333333,278.061,16.236
Yemen,1994,26.54435294117647,9.964,0.617
Indonesia,2007,26.682327586206902,387.577,1.635
Morocco,1963,17.436285714285717,3.954,0.314
Morocco,1966,17.485374999999998,5.46,0.402
Pakistan,1999,25.259405367231647,99.389,0.66
France,1964,10.536467592592594,371.374,7.686
South Africa,1962,16.852009999999996,105.67,6.067
Syria,2001,19.476726190476192,51.343,3.011
Algeria,1960,18.226049999999997,6.151,0.538
Algeria,1966,18.143449999999998,8.421,0.669
Malaysia,1983,27.149994791666668,38.048,2.663
Portugal,1979,14.797309523809522,24.856,2.572
Portugal,1981,15.61125,27.0,2.745
Ecuador,1971,20.260346153846154,4.219,0.666
Italy,2000,14.050831349206346,469.598,8.199
Uzbekistan,1993,11.857572916666667,115.619,5.258
Madagascar,1991,22.68501388888889,1.025,0.083
Belgium,1981,9.880119047619043,123.577,12.545
Belgium,1986,9.472071428571429,102.374,10.354
Belgium,2011,11.544238095238091,105.159,9.526
El Salvador,1964,25.50663888888889,1.231,0.395
Romania,1973,8.82958,144.691,6.957
Peru,1987,17.91302281368821,25.694,1.248
Peru,2005,17.197551181102362,30.321,1.079
Colombia,2005,23.527209401709403,60.256,1.43
Tanzania,1996,23.110542105263157,2.527,0.082
Turkmenistan,1981,15.4645,28.976,9.967
Turkmenistan,2012,15.245638888888891,66.939,11.524
Israel,1969,19.687879629629634,14.801,5.374
Israel,1991,19.41,36.148,7.563
Israel,1998,20.340185185185184,56.01,9.673
Paraguay,1967,23.45335,0.487,0.218
Paraguay,1975,22.795850000000005,0.836,0.311
New Zealand,1989,13.745287037037038,25.453,7.635
Vietnam,1991,25.43401944444444,21.376,0.32
Vietnam,1999,25.208919444444444,48.548,0.636
Iraq,1962,21.252937499999998,9.021,1.217
Iraq,1998,21.567499999999995,80.984,3.539
Afghanistan,1963,14.768357894736843,0.707,0.074
Afghanistan,1992,14.702144444444446,1.482,0.112
Afghanistan,2009,14.838125,6.388,0.233
Argentina,1962,16.973106770833336,53.64,2.545
Moldova,1993,8.602472222222222,15.846,3.562
Mali,2005,28.790805555555558,1.458,0.108
Thailand,1965,27.017694444444444,7.445,0.239
Thailand,1970,27.095666666666666,15.362,0.427
Thailand,1977,27.134162698412695,31.878,0.744
Thailand,2005,27.51061904761905,214.325,3.246
Central African Republic,1970,25.34483333333333,0.209,0.1
Bosnia And Herzegovina,1964,10.188516666666665,7.302,2.078
Switzerland,1960,7.804033333333333,19.513,3.663
Cuba,2004,26.465934523809523,24.54,2.183
Lebanon,1963,19.612194444444448,3.023,1.534
Mozambique,1977,23.952006944444445,2.706,0.265
Mozambique,2003,24.370293706293708,1.856,0.096
Serbia,1963,9.959916666666665,18.666,2.704
Angola,2010,22.457202898550726,22.983,0.987
Somalia,1977,26.70763157894736,0.799,0.178
Somalia,1981,26.655783333333332,0.275,0.046
Norway,1995,4.182104166666667,38.469,8.825
Nepal,1995,18.72267857142857,2.309,0.104
Poland,1992,9.056929824561404,364.283,9.528
Ukraine,1968,8.256260416666667,416.737,8.94
Malawi,1983,22.437375000000003,0.575,0.081
Burkina Faso,1982,27.79720833333334,0.575,0.078
Burkina Faso,2007,28.748249999999995,1.616,0.109
Slovakia,1981,9.04425,58.474,11.66
Slovakia,1983,9.691125,57.998,11.403
Slovakia,1993,9.037875,46.394,8.71
Congo,1964,23.85208333333333,0.267,0.228
Congo,2012,24.210499999999996,5.018,1.059
Gambia,1978,25.412999999999997,0.139,0.209
Burundi,1969,21.117583333333332,0.073,0.021
Zimbabwe,1968,20.147749999999995,6.378,1.301
Zimbabwe,1997,20.268428571428576,13.901,1.223
Zimbabwe,2006,20.30708333333333,10.365,0.82
Haiti,1971,26.29175,0.403,0.085
Haiti,1974,26.288749999999997,0.472,0.094
Haiti,1979,26.6052,0.75,0.136
Zambia,1965,20.668239583333335,3.912,1.06
Taiwan,1985,21.810666666666652,76.449,3.906
Taiwan,2011,22.02833333333333,276.771,11.892
Bolivia,1966,11.584984848484849,1.689,0.402
Ireland,2007,10.562708333333331,47.658,10.847
Qatar,1992,26.2175,26.816,57.097
Albania,1985,15.912833333333335,7.882,2.604
Tajikistan,1974,8.393958333333334,9.376,2.82
Tajikistan,2004,10.737916666666665,2.562,0.377
Guatemala,1992,19.886083333333332,5.791,0.608
Botswana,2011,19.192583333333335,4.029,1.943
Austria,2012,7.647199999999999,67.26,7.977
Armenia,1978,8.779,7.383,2.45
Armenia,1989,9.667083333333332,9.418,2.735
Armenia,1990,9.097833333333334,9.003,2.535
Dominican Republic,1960,26.40662962962963,1.04,0.318
Dominican Republic,1973,26.256324074074072,5.959,1.246
Jordan,2001,19.74975,15.858,2.884
Djibouti,1990,29.643166666666673,0.297,0.512
Lithuania,1968,6.14785,22.305,7.265
Rwanda,1969,19.319666666666667,0.059,0.015
Rwanda,1999,19.216727272727272,0.502,0.062
Jamaica,1980,27.00936111111112,8.445,3.936
Togo,1989,26.869208333333333,1.024,0.264
Cyprus,1991,19.35375,5.136,6.429
Gabon,1964,25.872083333333336,0.191,0.354
Niger,1978,28.28611111111111,0.413,0.071
Niger,2004,28.978,0.795,0.06
Liberia,1977,26.050666666666668,1.471,0.833
Liberia,1978,25.958249999999996,1.503,0.827
Liberia,2000,26.17125,0.402,0.137
Uruguay,1982,18.29970833333333,4.86,1.633
Chad,2012,27.739478260869568,1.747,0.132
Bahamas,1986,25.396666666666665,1.411,5.477
Mauritania,2013,28.244749999999996,2.169,0.581
Panama,1971,26.46666666666667,3.079,1.979
Panama,1990,27.3755,2.618,1.066
Suriname,1966,26.82766666666667,1.096,3.308
Suriname,1987,27.426583333333337,1.758,4.428
Cambodia,1985,27.26,0.418,0.069
Cambodia,1998,28.180416666666662,1.876,0.156
Mauritius,1962,23.300416666666667,0.253,0.358
Iceland,1960,2.70275,1.212,6.906
Iceland,1983,0.8667500000000001,1.543,6.509
Iceland,2001,2.5280833333333335,2.865,10.051
Montenegro,1974,10.295,1.469,2.662
Croatia,1961,11.403055555555557,6.109,1.447
Costa Rica,1965,25.08825,0.846,0.533
Costa Rica,1998,26.22633333333333,5.214,1.378
Costa Rica,2009,25.738583333333334,7.693,1.71
South Korea,1985,10.779499999999999,168.758,4.101
Hong Kong,1966,22.289500000000004,5.162,1.285
Hong Kong,1984,21.141166666666667,22.225,4.181
Singapore,1994,27.08775,60.086,17.58
Estonia,1969,3.6443749999999997,22.623,16.774
Estonia,1985,3.4764166666666667,38.842,25.465
Estonia,1989,7.101749999999999,38.945,24.844
Mongolia,1989,-1.6375833333333338,10.459,4.924
Laos,1984,24.236416666666667,0.183,0.05
Denmark,1960,7.919250000000001,29.761,6.499
Denmark,1982,8.391250000000001,53.619,10.477
Turkey,2002,13.726089869281044,224.32,3.346
Kazakhstan,1975,5.595472222222223,198.61,14.496
Kazakhstan,1978,5.291983333333334,219.992,14.954
Germany,1992,9.772671810699592,969.464,11.978
Nigeria,1989,26.371149267399264,42.046,0.445
United Kingdom,1961,9.717139705882353,588.578,11.129
United Kingdom,2000,10.07188602941176,569.034,9.635
Saudi Arabia,1968,24.52194520547945,29.079,8.858
Benin,1983,27.55248611111111,0.404,0.095
Benin,1986,27.087833333333332,0.624,0.133
Benin,1994,27.18413888888888,0.912,0.15
Venezuela,1963,25.87736874999999,56.152,6.195
Venezuela,1965,25.670535416666674,60.73,6.262
Ghana,1970,26.71771296296296,2.404,0.269
Ghana,1971,26.250981481481478,2.03,0.221
Australia,2013,17.86789285714286,397.85,17.122
Yemen,1983,25.982416666666666,6.314,0.594
Morocco,2003,18.429941666666664,36.57,1.237
Morocco,2005,18.141358333333336,44.661,1.471
Pakistan,1969,24.46007062146893,20.213,0.346
France,1978,10.06600925925926,532.682,9.97
France,1992,11.102995370370369,408.433,7.096
France,1998,11.19362962962963,414.357,7.049
France,2012,11.27964814814815,358.1,5.59
Libya,2007,21.003458333333338,44.392,7.272
Brazil,1962,21.708863808801215,53.611,0.697
Brazil,1972,22.407046212121212,113.992,1.138
South Africa,2007,17.108740740740743,465.034,9.203
Syria,1969,18.65384523809524,7.233,1.171
Syria,1977,18.43158333333333,14.644,1.81
Syria,2000,18.809666666666665,54.527,3.277
Algeria,1962,17.89766666666667,5.661,0.48
Algeria,1968,18.126766666666665,9.05,0.687
Algeria,1989,18.866933333333332,78.942,3.189
Algeria,1995,18.736749999999997,95.906,3.369
Algeria,2009,19.07696666666667,116.328,3.278
Netherlands,1998,10.127590277777777,176.396,11.145
Malaysia,1997,27.1668671875,118.471,5.542
